developer	publisher	positive	negative	average_forever	average_2weeks	median_forever	median_2weeks	price	initialprice	languages	tags	genre	appid	num_lang
Consumer Softproducts	Consumer Softproducts	10052	314	353	0	372	0	19.99	19.99	English	{'Capitalism': 352, 'Immersive Sim': 341, 'Surreal': 337, 'FPS': 336, 'Psychological Horror': 302, 'Cyberpunk': 265, 'Shooter': 263, 'Psychedelic': 247, 'Stealth': 242, 'Lore-Rich': 238, 'First-Person': 237, 'Dark Humor': 228, 'Stylized': 201, 'Dystopian ': 197, 'Action': 183, 'Post-apocalyptic': 179, 'Assassin': 166, 'Tactical': 157, 'Retro': 151, 'Simulation': 146}	Action, Indie, Simulation	1388770	1
		0	0	0	0	0	0	0.0	0.0		[]		1806040	0
		0	0	0	0	0	0	0.0	0.0		[]		1655140	0
Iron Gate AB	Coffee Stain Publishing	383491	20506	3094	524	1600	401	19.99	19.99	English, French, German, Spanish - Spain, Russian, Simplified Chinese, Turkish, Dutch, Japanese, Portuguese - Brazil, Polish, Ukrainian	{'Open World Survival Craft': 1620, 'Survival': 1562, 'Online Co-Op': 1492, 'Open World': 1481, 'Multiplayer': 1422, 'Building': 1329, 'Crafting': 1266, 'Exploration': 1169, 'Base-Building': 1123, 'Co-op': 1017, 'Sandbox': 918, 'Adventure': 865, 'Mythology': 840, 'RPG': 731, 'Early Access': 645, 'Action': 593, 'Indie': 511, 'PvP': 465, 'Singleplayer': 367, 'Third Person': 317}	Action, Adventure, Indie, RPG, Early Access	892970	17
		0	0	162	0	217	0	0.0	0.0		[]		1714320	0
Oskar Stålberg	Raw Fury	17801	702	229	0	74	0	5.99	5.99	English, French, Italian, German, Spanish - Spain, Czech, Danish, Dutch, Finnish, Greek, Hungarian, Japanese, Korean, Norwegian, Polish, Portuguese - Portugal, Portuguese - Brazil, Romanian, Russian, Simplified Chinese, Spanish - Latin America, Swedish, Traditional Chinese, Turkish, Ukrainian	{'Controller': 377, 'City Builder': 369, 'Sandbox': 362, 'Singleplayer': 356, 'Base-Building': 347, 'Relaxing': 345, 'Indie': 335, 'Building': 330, 'Simulation': 330, 'Minimalist': 300, 'Casual': 289, 'Open World': 282, 'Procedural Generation': 282, 'Cute': 278, 'Colorful': 277, 'Stylized': 272, 'Family Friendly': 271, 'Atmospheric': 269, 'Colony Sim': 267, 'Cartoony': 264}	Casual, Indie, Simulation	1291340	36
SIGONO INC.	SIGONO INC.	6544	197	448	0	500	0	24.99	24.99	English, Traditional Chinese, Japanese, Simplified Chinese	{'Visual Novel': 330, 'Emotional': 292, 'Anime': 286, 'Female Protagonist': 280, 'Story Rich': 278, 'Interactive Fiction': 276, '2D': 235, 'Indie': 234, 'Space': 227, 'Singleplayer': 222, 'Exploration': 220, 'Adventure': 210, 'Atmospheric': 204, 'Soundtrack': 198, 'Walking Simulator': 190, 'Colorful': 185, 'Sci-fi': 178, '2.5D': 169, 'JRPG': 164, 'Puzzle-Platformer': 160}	Adventure, Indie	1504500	6
NomnomNami	NomnomNami	4966	135	88	0	94	0	9.99	9.99	English, French, German, Korean, Russian, Spanish - Latin America, Portuguese - Brazil, Polish, Simplified Chinese, Swedish, Italian, Japanese, Vietnamese, Turkish, Spanish - Spain, Arabic, Dutch, Czech, Basque, Hebrew, Thai, Hungarian, Ukrainian	{'Visual Novel': 249, 'Multiple Endings': 249, 'Story Rich': 247, 'LGBTQ+': 235, 'Choices Matter': 228, 'Pixel Graphics': 220, 'Choose Your Own Adventure': 193, 'Cute': 164, 'Simulation': 152, 'Romance': 142, 'Demons': 121, 'Anime': 120, 'Stylized': 103, 'Fantasy': 101, 'Colorful': 81, 'Singleplayer': 72, '2D': 72, 'Gore': 42, 'Violent': 39, 'Female Protagonist': 22}	Simulation	1764390	31
Mighty Coconut	Mighty Coconut	2207	35	422	663	516	663	10.49	14.99	English, French, German, Japanese, Korean, Simplified Chinese, Spanish - Latin America	{'Sports': 116, 'Mini Golf': 108, 'Golf': 108, 'PvP': 103, 'VR': 102, '3D': 99, 'First-Person': 92, 'Casual': 81, 'Historical': 79, 'Colorful': 79, 'Minimalist': 78, 'Stylized': 76, 'Fantasy': 73, 'Pirates': 71, '6DOF': 69, 'Atmospheric': 67, 'Multiplayer': 65, 'Nature': 64, 'Physics': 62, 'Singleplayer': 59, 'VR Only': 1}	Casual, Indie, Sports	1408230	11
		0	0	0	0	0	0	0.0	0.0		[]		1830840	0
