,App_id,24_Hour_Peak,All_time_peak
39519,1953800,Invalid,Invalid
39520,1953870,Invalid,Invalid
39521,1955410,Invalid,Invalid
39522,1955980,Invalid,Invalid
39523,1956310,0,6
39524,1956820,Invalid,Invalid
39525,1958950,Invalid,Invalid
39526,1964980,Invalid,Invalid
39527,1965680,Invalid,Invalid
39528,1967840,Invalid,Invalid
39529,1974010,Invalid,Invalid
39530,1983780,0,1
39531,1986430,0,1
39532,1987050,0,1
39533,1987810,Invalid,Invalid
39534,1991630,Invalid,Invalid
39535,1995320,Invalid,Invalid
39536,1996570,Invalid,Invalid
39537,1997740,Invalid,Invalid
39538,2000220,Invalid,Invalid
39539,2001680,Invalid,Invalid
39540,2005710,Invalid,Invalid
39541,2006310,Invalid,Invalid
39542,2007920,Invalid,Invalid
39543,2011330,Invalid,Invalid
39544,2012020,0,1
39545,2020210,0,2
39546,2022680,Invalid,Invalid
39547,2026170,Invalid,Invalid
39548,2055370,Invalid,Invalid
39549,2056570,Invalid,Invalid
39550,2059600,0,0
39551,2064000,Invalid,Invalid
39552,2064090,Invalid,Invalid
39553,2064500,0,1
39554,2065560,Invalid,Invalid
39555,2065990,Invalid,Invalid
39556,2066530,Invalid,Invalid
39557,2069480,Invalid,Invalid
39558,2084510,Invalid,Invalid
39559,2085860,Invalid,Invalid
39560,2086270,Invalid,Invalid
39561,2088930,0,2
39562,2091680,Invalid,Invalid
39563,2091880,Invalid,Invalid
39564,2095100,Invalid,Invalid
39565,2098370,Invalid,Invalid
39566,2099120,Invalid,Invalid
39567,2099990,Invalid,Invalid
39568,2100940,Invalid,Invalid
39569,2102770,0,6
39570,2104850,Invalid,Invalid
39571,2112270,Invalid,Invalid
39572,2121630,Invalid,Invalid
39573,2125340,Invalid,Invalid
