;appid;required_age;is_free;controller_support;dlc;metacritic;windows;mac;linux;platforms_num;recommendations;achievements;release_date;release_date_final
1104;1445980;0;False;;;;1.0;1.0;0.0;2.0;;18.0;2021-Feb-25;2021-02-25
1105;1454080;0;False;full;;;1.0;0.0;0.0;1.0;;18.0;2021-Mar-19;2021-03-19
1106;1497820;0;False;;;;1.0;0.0;0.0;1.0;;34.0;2021-Jan-14;2021-01-14
1107;1660040;0;False;full;;;1.0;0.0;0.0;1.0;;15.0;2021-Jun-25;2021-06-25
1108;1727660;0;False;;;;1.0;0.0;0.0;1.0;;;2021-ct-8O;
1109;1728740;0;True;;;;1.0;0.0;0.0;1.0;;;2021-ep-5S;
1110;673610;0;False;;4.0;;1.0;1.0;0.0;2.0;5934.0;35.0;2021-ar-4M;
1111;1257200;0;False;;;;1.0;0.0;0.0;1.0;351.0;;2021-Feb-19;2021-02-19
1112;1613190;0;False;;;;1.0;0.0;0.0;1.0;;;2021-ov-9N;
1113;1114900;0;False;full;;;1.0;1.0;1.0;3.0;;32.0;2021-Jul-27;2021-07-27
1114;1318240;0;False;;;;1.0;0.0;0.0;1.0;;35.0;2021-Mar-18;2021-03-18
1115;1524690;0;False;;;;1.0;1.0;0.0;2.0;;6.0;2021-eb-4F;
1116;1598210;0;False;full;;;1.0;1.0;1.0;3.0;;13.0;2021-Oct-28;2021-10-28
1117;1611350;0;False;;2.0;;1.0;1.0;0.0;2.0;;54.0;2021-ec-8D;
1118;1698520;0;False;;;;1.0;0.0;0.0;1.0;185.0;10.0;2021-ug-6A;
1119;1153640;0;False;full;2.0;76.0;1.0;0.0;0.0;1.0;2032.0;42.0;2021-ec-3D;
1120;1588570;0;True;full;;;1.0;0.0;0.0;1.0;;;2021-Apr-22;2021-04-22
1121;1585540;0;False;;;;1.0;0.0;0.0;1.0;229.0;;2021-Apr-30;2021-04-30
1122;1706820;0;False;;;;1.0;0.0;0.0;1.0;143.0;20.0;2021-ct-4O;
1123;1736300;0;False;full;;;1.0;0.0;0.0;1.0;105.0;34.0;2021-ov-6N;
1124;1349040;0;False;;;;1.0;1.0;1.0;3.0;1803.0;100.0;2021-Dec-24;2021-12-24
1125;1016600;0;False;full;2.0;;1.0;1.0;0.0;2.0;2561.0;79.0;2021-Apr-22;2021-04-22
1126;1252850;0;False;full;;;1.0;0.0;0.0;1.0;;28.0;2021-eb-4F;
1127;1743940;0;False;;;;1.0;0.0;0.0;1.0;;;2021-ec-3D;
1128;1750490;0;False;full;;;1.0;0.0;0.0;1.0;;13.0;2021-Dec-15;2021-12-15
1129;1521930;0;False;;;;1.0;1.0;0.0;2.0;;15.0;2021-Sep-28;2021-09-28
1130;694280;0;False;full;92.0;74.0;1.0;0.0;0.0;1.0;4862.0;70.0;2021-Feb-18;2021-02-18
1131;342080;0;False;;1.0;;1.0;1.0;0.0;2.0;;25.0;2021-Dec-15;2021-12-15
1132;1620920;0;False;full;1.0;;1.0;0.0;0.0;1.0;;20.0;2021-Jun-17;2021-06-17
1133;1372800;0;False;full;;;1.0;0.0;0.0;1.0;;23.0;2021-Jan-17;2021-01-17
1134;1515800;0;False;;1.0;;1.0;0.0;0.0;1.0;;9.0;2021-ct-1O;
1135;1517160;0;False;full;;;1.0;1.0;0.0;2.0;;12.0;2021-Apr-29;2021-04-29
1136;1612200;0;False;;;;1.0;0.0;0.0;1.0;;25.0;2021-ay-5M;
1137;1613150;0;False;full;;;1.0;0.0;0.0;1.0;;5.0;2021-May-12;2021-05-12
1138;1682550;0;False;full;;;1.0;0.0;0.0;1.0;;42.0;2021-ct-1O;
1139;1730190;0;False;;;;1.0;1.0;0.0;2.0;;24.0;2021-Sep-29;2021-09-29
1140;1831060;0;False;;;;1.0;0.0;0.0;1.0;;5.0;2021-Dec-16;2021-12-16
1141;1370600;0;True;;;;1.0;0.0;0.0;1.0;;;2021-Aug-23;2021-08-23
1142;1237040;0;False;;5.0;;1.0;1.0;1.0;3.0;;84.0;2021-May-19;2021-05-19
1143;1689190;0;False;;;;1.0;0.0;0.0;1.0;;22.0;2021-Oct-22;2021-10-22
1144;1455660;0;False;;;;1.0;1.0;1.0;3.0;1572.0;169.0;2021-Mar-26;2021-03-26
1145;820540;0;False;full;;76.0;1.0;0.0;0.0;1.0;165.0;33.0;2021-Mar-12;2021-03-12
1146;1846020;0;False;full;;;1.0;0.0;0.0;1.0;;100.0;2021-Dec-28;2021-12-28
1147;825060;0;False;full;1.0;;1.0;1.0;1.0;3.0;;43.0;2021-Dec20-21;
1148;1475960;0;False;;1.0;;1.0;0.0;0.0;1.0;;10.0;2021-ep-2S;
1149;1579850;0;False;;1.0;;1.0;1.0;0.0;2.0;;22.0;2021-Jul-16;2021-07-16
1150;1694880;0;False;full;1.0;;1.0;0.0;0.0;1.0;;30.0;2021-Nov-18;2021-11-18
1151;1809710;0;False;full;;;1.0;0.0;0.0;1.0;;52.0;2021-Dec20-21;
1152;1575300;0;False;;;;1.0;0.0;0.0;1.0;121.0;10.0;2021-pr-5A;
1153;1490610;0;False;full;9.0;;1.0;0.0;0.0;1.0;1032.0;40.0;2021-Sep-15;2021-09-15
1154;1399590;0;False;full;2.0;;1.0;0.0;0.0;1.0;566.0;26.0;2021-May20-21;
1155;1494110;0;False;;1.0;;1.0;0.0;0.0;1.0;196.0;79.0;2021-Mar-18;2021-03-18
1156;1236490;0;False;full;1.0;;1.0;0.0;0.0;1.0;;32.0;2021-Apr-22;2021-04-22
1157;1689280;0;True;;;;1.0;0.0;0.0;1.0;;;2021-Sep-30;2021-09-30
