;App_id;24_Hour_Peak;All_time_peak
3373;877190;Invalid;Invalid
3374;626700;Invalid;Invalid
3375;644150;Invalid;Invalid
3376;811910;Invalid;Invalid
3377;823340;Invalid;Invalid
3378;841980;2;7
3379;939230;Invalid;Invalid
3380;973170;Invalid;Invalid
3381;729060;Invalid;Invalid
3382;960360;Invalid;Invalid
3383;688800;Invalid;Invalid
3384;778030;Invalid;Invalid
3385;940810;1;8
3386;837790;Invalid;Invalid
3387;622770;Invalid;Invalid
3388;640210;Invalid;Invalid
3389;830490;0;5
3390;790650;0;1174
3391;369440;6;235
3392;696180;Invalid;Invalid
3393;767390;7;260
3394;504560;0;5
3395;719800;0;14
3396;631830;0;401
3397;773530;0;36
3398;782130;Invalid;Invalid
3399;708310;Invalid;Invalid
3400;780840;Invalid;Invalid
3401;807230;Invalid;Invalid
3402;860080;Invalid;Invalid
3403;788130;Invalid;Invalid
3404;859340;Invalid;Invalid
3405;831060;Invalid;Invalid
3406;760800;Invalid;Invalid
3407;749860;2;18
3408;799810;Invalid;Invalid
3409;896030;2;258
3410;907770;0;5
3411;592100;Invalid;Invalid
3412;774141;Invalid;Invalid
3413;788320;Invalid;Invalid
3414;821370;2;34
3415;907970;Invalid;Invalid
3416;674890;Invalid;Invalid
3417;696410;Invalid;Invalid
3418;743330;Invalid;Invalid
3419;751380;Invalid;Invalid
3420;766650;Invalid;Invalid
3421;767400;Invalid;Invalid
3422;769910;Invalid;Invalid
3423;787690;0;3
3424;802920;Invalid;Invalid
3425;821400;Invalid;Invalid
3426;853260;Invalid;Invalid
3427;868070;Invalid;Invalid
3428;869030;Invalid;Invalid
3429;873250;Invalid;Invalid
3430;891120;Invalid;Invalid
3431;935750;Invalid;Invalid
3432;972290;Invalid;Invalid
3433;835860;36;3691
3434;680860;Invalid;Invalid
3435;385270;Invalid;Invalid
3436;705860;Invalid;Invalid
3437;815070;Invalid;Invalid
3438;958980;Invalid;Invalid
3439;993580;0;2
3440;776820;Invalid;Invalid
3441;802810;Invalid;Invalid
3442;674150;Invalid;Invalid
3443;774261;Invalid;Invalid
3444;742530;Invalid;Invalid
3445;734730;1;12
3446;816210;Invalid;Invalid
3447;833260;Invalid;Invalid
3448;727180;0;9
3449;788700;Invalid;Invalid
3450;850290;Invalid;Invalid
3451;851650;6;36
3452;737890;0;35
3453;814900;Invalid;Invalid
3454;886970;0;5
3455;645290;0;21
3456;299740;134;5137
3457;673190;3;23
3458;624410;0;176
3459;881920;1;14
3460;893570;3;15
3461;853780;Invalid;Invalid
3462;950380;Invalid;Invalid
3463;683000;0;52
3464;754340;Invalid;Invalid
3465;778250;Invalid;Invalid
3466;799300;Invalid;Invalid
3467;801870;Invalid;Invalid
3468;966580;Invalid;Invalid
3469;628140;66;137
3470;807060;0;13
3471;836330;0;3
3472;981160;Invalid;Invalid
3473;872090;Invalid;Invalid
3474;672310;Invalid;Invalid
3475;837930;Invalid;Invalid
3476;872730;Invalid;Invalid
3477;877550;Invalid;Invalid
3478;940780;Invalid;Invalid
3479;717070;Invalid;Invalid
3480;763270;7;26
3481;904310;Invalid;Invalid
3482;918070;0;3
3483;536690;Invalid;Invalid
3484;698790;Invalid;Invalid
3485;864130;Invalid;Invalid
