appid,new_date
1996420,2022-05-30
1031460,2022-12-21
1996210,2022-12-16
1988940,2022-05-27
2097180,2022-09-22
1927780,2022-08-31
1897120,2022-09-29
1145130,2022-09-16
1766010,2022-08-25
2157110,2022-11-30
1684100,2022-01-07
1980390,2022-06-09
1411740,2022-07-13
1086850,2022-01-13
357330,2022-06-04
1604030,2022-05-17
1548940,2022-04-14
1223870,2022-04-22
2010420,2022-06-08
1922560,2022-05-16
1926680,2022-04-13
1491490,2022-03-31
1805200,2022-03-10
1280930,2022-04-12
1986760,2022-08-02
2058150,2022-07-19
1989990,2022-05-26
1121640,2022-09-14
968250,2022-09-14
1478160,2022-08-05
869480,2022-11-11
1740680,2022-05-24
2058950,2022-08-12
1504340,2022-06-10
2025610,2022-10-03
1788780,2022-01-07
1190170,2022-02-07
962130,2022-09-27
261550,2022-10-25
1911390,2022-04-01
1861290,2022-02-02
1297210,2022-04-21
1718130,2022-09-13
1531490,2022-10-19
2061440,2022-10-07
2168600,2022-11-08
1863080,2022-03-10
1378800,2022-09-21
1659420,2022-10-19
1671280,2022-05-19
1730260,2022-11-30
2113050,2022-09-02
2017370,2022-06-17
2027550,2022-08-11
2093900,2022-08-30
1510460,2022-12-15
2138700,2022-09-27
1891700,2022-03-17
2110460,2022-10-26
2111060,2022-09-09
1603410,2022-05-11
1546400,2022-08-04
2143770,2022-09-29
1919750,2022-03-15
1574240,2022-06-15
1896880,2022-03-15
1601340,2022-04-29
1668190,2022-11-09
1831250,2022-10-28
1676130,2022-10-18
1680550,2022-07-20
1837330,2022-05-18
1583230,2022-12-13
1533470,2022-06-01
1341820,2022-07-19
852780,2022-07-26
1946430,2022-07-07
1352930,2022-08-25
1059980,2022-07-21
1910680,2022-03-31
2050590,2022-10-21
1726760,2022-08-31
1939790,2022-09-29
973230,2022-11-14
793830,2022-02-01
1862270,2022-10-27
1607130,2022-03-19
2204230,2022-12-15
1978760,2022-05-13
1973710,2022-08-10
1909810,2022-03-31
1790490,2022-04-13
1935570,2022-03-31
1768280,2022-10-11
2245890,2022-12-27
2001570,2022-06-03
1907180,2022-03-03
2025840,2022-11-11
1807750,2022-01-06
1731200,2022-07-16
1709730,2022-12-23
1622770,2022-11-04
1688100,2022-03-17
1742610,2022-04-28
1485080,2022-03-25
1409530,2022-08-31
1977110,2022-05-26
1102930,2022-12-15
1818180,2022-01-06
2081470,2022-08-18
1968430,2022-08-04
1572080,2022-03-10
1880710,2022-02-22
2183010,2022-11-18
1886830,2022-03-11
1943950,2022-08-11
1874490,2022-10-17
2009380,2022-09-14
1936360,2022-07-18
1744570,2022-05-08
1410440,2022-02-18
1829650,2022-02-11
1941110,2022-06-02
949290,2022-04-22
1824080,2022-01-14
1645820,2022-06-24
2055540,2022-09-30
1173820,2022-02-23
1257660,2022-02-17
1867740,2022-07-21
1974610,2022-09-16
1909290,2022-03-02
1700870,2022-07-14
1961520,2022-07-21
2088080,2022-08-18
525680,2022-09-01
1914970,2022-03-08
1582290,2022-06-11
2074890,2022-11-30
1853380,2022-05-06
1324780,2022-01-06
1773490,2022-04-01
2063480,2022-07-27
1114220,2022-10-14
1373930,2022-04-28
1490340,2022-08-18
2152190,2022-10-17
1284210,2022-08-23
2101220,2022-08-12
2143340,2022-11-01
1907060,2022-03-08
903630,2022-03-10
1131670,2022-08-23
2025660,2022-09-13
2099110,2022-10-29
1961950,2022-10-07
1611430,2022-08-25
1515490,2022-04-05
987840,2022-01-20
1872860,2022-02-28
1288900,2022-09-27
1573090,2022-12-06
1906020,2022-06-02
1409770,2022-05-27
1860850,2022-02-02
2182750,2022-12-23
993110,2022-08-19
1863540,2022-04-20
2138350,2022-11-17
1768920,2022-12-15
1849310,2022-01-13
1687940,2022-01-15
1390410,2022-08-23
1202130,2022-06-16
1904980,2022-11-04
1765780,2022-07-26
1646350,2022-08-19
1956600,2022-09-30
833360,2022-08-03
520010,2022-01-08
1855830,2022-02-09
2084050,2022-11-24
2196790,2022-12-28
1453490,2022-02-10
1920540,2022-04-28
1318970,2022-11-10
1881800,2022-03-14
1811740,2022-10-05
2015700,2022-07-12
1970980,2022-05-25
1879380,2022-05-06
1714420,2022-04-18
1985250,2022-06-03
1678430,2022-02-10
2063680,2022-08-19
2095250,2022-09-08
1808060,2022-08-01
1685750,2022-06-24
1888660,2022-04-18
1477590,2022-04-14
1399720,2022-12-17
2067760,2022-07-18
1860570,2022-02-02
685240,2022-11-02
1904540,2022-11-08
1788850,2022-07-15
1829470,2022-09-30
1108170,2022-11-01
1191770,2022-09-21
1734680,2022-09-16
1702990,2022-02-18
2105960,2022-08-27
1753270,2022-04-10
1880490,2022-06-21
2093760,2022-09-01
1959480,2022-05-05
1950440,2022-10-12
1180130,2022-07-15
1797930,2022-10-25
2005210,2022-10-21
1836160,2022-03-04
2018640,2022-08-15
1747890,2022-04-14
2101350,2022-09-15
1084600,2022-05-26
2109010,2022-08-23
1954640,2022-07-11
1985360,2022-05-25
2010530,2022-08-12
867210,2022-05-10
1291010,2022-04-21
1320490,2022-03-31
1843030,2022-05-14
1846630,2022-04-27
1875950,2022-05-13
2216960,2022-12-20
2065330,2022-08-16
1616280,2022-03-23
2066950,2022-10-10
2169800,2022-11-11
1923680,2022-07-04
1956370,2022-05-02
611790,2022-07-16
1515900,2022-01-06
1890480,2022-03-11
1938850,2022-04-29
1985240,2022-08-22
2217440,2022-11-25
1104450,2022-10-06
2177620,2022-11-11
1446780,2022-01-12
1960270,2022-08-31
1997040,2022-10-18
2066250,2022-08-05
1919470,2022-11-11
1946550,2022-07-14
1730000,2022-02-28
1965800,2022-06-15
2006140,2022-10-04
2026520,2022-09-30
1952760,2022-04-20
2096600,2022-11-17
1626460,2022-02-13
1449200,2022-06-24
1461600,2022-03-11
1818750,2022-07-19
1933740,2022-06-23
1024160,2022-07-28
1224840,2022-03-12
2084010,2022-08-18
2130000,2022-09-12
1782600,2022-01-06
1802850,2022-09-16
1832050,2022-04-11
1812390,2022-04-26
1655890,2022-04-01
1939560,2022-11-04
787510,2022-07-21
2163810,2022-10-13
1570980,2022-05-31
2126870,2022-09-09
1856900,2022-03-25
1431230,2022-02-07
2098350,2022-09-30
1860760,2022-03-03
1595510,2022-07-12
1892850,2022-12-15
1762480,2022-04-01
1858530,2022-04-19
1804270,2022-12-05
1899620,2022-03-01
1220010,2022-02-16
1509510,2022-10-24
2105660,2022-10-31
1324530,2022-10-20
1947300,2022-04-29
1952910,2022-05-11
2065000,2022-11-10
2150700,2022-10-28
1836120,2022-01-12
1533680,2022-03-24
1248840,2022-04-12
1614270,2022-03-09
2004440,2022-08-22
1218210,2022-03-31
1637760,2022-09-29
1709050,2022-10-18
1839510,2022-09-13
2092190,2022-08-17
334540,2022-05-13
1603500,2022-12-13
1938260,2022-06-30
2109640,2022-09-23
2027360,2022-08-01
1841640,2022-04-25
1640160,2022-03-30
1949190,2022-07-13
2070390,2022-08-03
2157340,2022-11-08
1750200,2022-09-08
1708990,2022-11-18
