;appid;required_age;is_free;controller_support;dlc;metacritic;windows;mac;linux;platforms_num;recommendations;achievements;release_date;release_date_final
4968;1233350;0;False;full;;;1.0;0.0;0.0;1.0;;36.0;2020-Apr-10;2020-04-10
4969;611550;0;False;full;;;1.0;0.0;0.0;1.0;;63.0;2020-Jun-29;2020-06-29
4970;891520;0;True;;;;1.0;0.0;0.0;1.0;;;2020-Sep-18;2020-09-18
4971;1090910;0;False;;1.0;;1.0;0.0;0.0;1.0;;27.0;2020-Aug-25;2020-08-25
4972;1111330;0;False;;;;1.0;0.0;0.0;1.0;;12.0;2020-Oct-18;2020-10-18
4973;1145220;0;False;;;;1.0;0.0;0.0;1.0;;;2020-Aug-25;2020-08-25
4974;1164310;0;False;;;;1.0;0.0;0.0;1.0;;;2020-eb-3F;
4975;1165100;0;False;;;;1.0;0.0;0.0;1.0;;;2020-ar-9M;
4976;1195430;0;False;;;;1.0;0.0;0.0;1.0;;43.0;2020-Feb-20;2020-02-20
4977;1199420;0;False;full;;;1.0;0.0;0.0;1.0;;;2020-Mar-20;2020-03-20
4978;1201250;0;False;;;;1.0;0.0;0.0;1.0;;;2020-Jan-16;2020-01-16
4979;1206040;0;False;;;;1.0;0.0;0.0;1.0;;;2020-Mar-22;2020-03-22
4980;1213650;0;False;;;;1.0;0.0;0.0;1.0;;27.0;2020-Jan-13;2020-01-13
4981;1214320;0;False;;;;1.0;0.0;0.0;1.0;;;2020-Apr-10;2020-04-10
4982;1215700;0;False;;;;1.0;1.0;0.0;2.0;;8.0;2020-Mar-20;2020-03-20
4983;1217880;0;False;;;;1.0;0.0;0.0;1.0;;8.0;2020-Mar-12;2020-03-12
4984;1220850;0;False;;;;1.0;1.0;0.0;2.0;;;2020-Apr-26;2020-04-26
4985;1220880;0;False;;;;1.0;0.0;0.0;1.0;;;2020-Jan-21;2020-01-21
4986;1228490;0;False;;;;1.0;0.0;0.0;1.0;;;2020-May-30;2020-05-30
4987;1230430;0;False;;;;1.0;0.0;0.0;1.0;;;2020-Apr-10;2020-04-10
4988;1235130;0;False;full;;;1.0;1.0;1.0;3.0;;35.0;2020-Mar-13;2020-03-13
4989;1237090;0;False;;;;1.0;0.0;0.0;1.0;;;2020-Feb-18;2020-02-18
4990;1238540;0;True;;;;1.0;0.0;0.0;1.0;;;2020-Mar-23;2020-03-23
4991;1238720;0;False;;;;1.0;0.0;0.0;1.0;;;2020-Feb-14;2020-02-14
4992;1240090;0;False;;;;1.0;0.0;0.0;1.0;;14.0;2020-ar-3M;
4993;1243640;0;False;;;;1.0;0.0;0.0;1.0;;13.0;2020-Mar-10;2020-03-10
4994;1254820;0;True;full;;;1.0;0.0;0.0;1.0;;25.0;2020-Apr-20;2020-04-20
4995;1257700;0;False;;;;1.0;0.0;0.0;1.0;;;2020-Apr-24;2020-04-24
4996;1258560;0;False;;;;1.0;0.0;0.0;1.0;;9.0;2020-Mar-20;2020-03-20
4997;1259390;0;True;;;;1.0;0.0;0.0;1.0;;;2020-pr-7A;
4998;1261900;0;False;;1.0;;1.0;1.0;0.0;2.0;;16.0;2020-Mar-27;2020-03-27
4999;1277100;0;True;;;;1.0;1.0;1.0;3.0;;20.0;2020-ug-6A;
5000;1278090;0;False;full;;;1.0;0.0;0.0;1.0;;2.0;2020-May-18;2020-05-18
5001;1278110;0;False;;;;1.0;0.0;1.0;2.0;;8.0;2020-Jun-18;2020-06-18
5002;1283350;0;False;;;;1.0;0.0;0.0;1.0;;;2020-Apr-21;2020-04-21
5003;1288030;0;True;;;;1.0;0.0;0.0;1.0;;;2020-ay-8M;
5004;1290820;0;True;;;;1.0;0.0;0.0;1.0;;;2020-y-Ma;
5005;1318110;0;False;full;;;1.0;0.0;0.0;1.0;;;2020-Jul-27;2020-07-27
5006;1318870;0;False;full;;;1.0;0.0;0.0;1.0;;31.0;2020-May-29;2020-05-29
5007;1322520;0;False;;;;1.0;0.0;0.0;1.0;;7.0;2020-Jun-29;2020-06-29
5008;1329430;0;False;;;;1.0;0.0;0.0;1.0;;;2020-un-9J;
5009;1335970;0;False;full;;;1.0;0.0;1.0;2.0;;17.0;2020-Jul-27;2020-07-27
5010;1338880;0;False;;;;1.0;0.0;0.0;1.0;;16.0;2020-Jul-11;2020-07-11
5011;1340400;0;False;;;;1.0;1.0;0.0;2.0;;;2020-ep-9S;
5012;1340860;0;False;;;;1.0;0.0;0.0;1.0;;;2020-ug-8A;
5013;1344520;0;False;full;;;1.0;0.0;0.0;1.0;;;2020-ul-7J;
5014;1345030;0;False;full;1.0;;1.0;0.0;0.0;1.0;;12.0;2020-ec-8D;
5015;1361190;0;False;;;;1.0;0.0;0.0;1.0;;;2020-Jul-14;2020-07-14
5016;1361200;0;False;;;;1.0;0.0;0.0;1.0;;;2020-Jul-31;2020-07-31
5017;1368620;0;True;;;;1.0;1.0;0.0;2.0;;;2020-Jul-28;2020-07-28
5018;1370710;0;False;;;;1.0;0.0;0.0;1.0;;;2020-Jul-31;2020-07-31
5019;1370720;0;False;;;;1.0;0.0;0.0;1.0;;;2020-ug-4A;
5020;1375920;0;False;;;;1.0;0.0;0.0;1.0;;;2020-Oct-15;2020-10-15
5021;1376820;0;False;;;;1.0;0.0;0.0;1.0;;;2020-Sep-30;2020-09-30
5022;1381270;0;False;;;;1.0;0.0;0.0;1.0;;;2020-Aug-12;2020-08-12
5023;1383290;0;True;full;;;1.0;0.0;0.0;1.0;;;2020-Sep-22;2020-09-22
5024;1384500;0;False;;;;1.0;0.0;0.0;1.0;;;2020-Aug-18;2020-08-18
5025;1385690;0;True;;;;1.0;0.0;0.0;1.0;;;2020-Aug-21;2020-08-21
5026;1387450;0;False;;;;1.0;0.0;0.0;1.0;;8.0;2020-Aug-28;2020-08-28
5027;1387610;0;False;full;;;1.0;0.0;0.0;1.0;;13.0;2020-Sep-10;2020-09-10
5028;1391600;0;False;;;;1.0;0.0;0.0;1.0;;;2020-Aug-27;2020-08-27
5029;1395000;0;False;;;;1.0;0.0;0.0;1.0;;;2020-Aug-31;2020-08-31
5030;1404970;0;False;;;;1.0;0.0;0.0;1.0;;;2020-Oct-12;2020-10-12
5031;1406240;0;False;;;;1.0;0.0;0.0;1.0;;0.0;2020-Oct-29;2020-10-29
5032;1406350;0;False;;;;1.0;0.0;0.0;1.0;;10.0;2020-Sep-23;2020-09-23
5033;1406740;0;True;;;;1.0;0.0;0.0;1.0;;;2020-Sep-16;2020-09-16
5034;1414500;0;False;;;;1.0;0.0;0.0;1.0;;;2020-Oct-12;2020-10-12
5035;1415620;0;False;;;;1.0;0.0;0.0;1.0;;8.0;2020-Sep-25;2020-09-25
5036;1427120;0;False;;;;1.0;0.0;0.0;1.0;;9.0;2020-Nov-11;2020-11-11
5037;1427910;0;False;;;;1.0;0.0;0.0;1.0;;;2020-Oct-30;2020-10-30
5038;1427970;0;False;;;;1.0;0.0;0.0;1.0;;;2020-Nov-20;2020-11-20
5039;1434340;0;True;full;;;1.0;0.0;0.0;1.0;;11.0;2020-Oct-20;2020-10-20
5040;1464050;0;False;;;;1.0;0.0;0.0;1.0;;;2020-Nov-21;2020-11-21
5041;1465120;0;False;;;;1.0;1.0;0.0;2.0;;7.0;2020-ov-5N;
5042;1468750;0;True;;;;1.0;0.0;0.0;1.0;;;2020-Nov-30;2020-11-30
5043;1474780;0;False;;;;1.0;0.0;0.0;1.0;;;2020-ec-8D;
5044;1479210;0;False;;;;1.0;0.0;0.0;1.0;;7.0;2020-Dec-14;2020-12-14
5045;1479750;0;False;full;;;1.0;0.0;0.0;1.0;;35.0;2020-Dec-21;2020-12-21
5046;1486430;0;False;;;;1.0;0.0;0.0;1.0;;;2020-Dec-24;2020-12-24
5047;1495070;0;False;;;;1.0;0.0;0.0;1.0;;;2020-Dec-29;2020-12-29
5048;1170210;0;False;;;;1.0;0.0;0.0;1.0;;21.0;2020-Jan-24;2020-01-24
5049;1204380;0;True;;;;1.0;0.0;0.0;1.0;;;2020-Feb-27;2020-02-27
5050;1215650;0;False;;;;1.0;0.0;0.0;1.0;;;2020-an-6J;
5051;1232310;0;False;;;;1.0;0.0;0.0;1.0;;;2020-ar-3M;
5052;1234600;0;True;;;;1.0;0.0;0.0;1.0;;;2020-Feb-14;2020-02-14
5053;1234850;0;False;;;;1.0;0.0;0.0;1.0;;12.0;2020-Feb-26;2020-02-26
5054;1255010;0;True;;;;1.0;0.0;0.0;1.0;;;2020-Jun-23;2020-06-23
5055;1259860;0;False;;;;1.0;0.0;0.0;1.0;;100.0;2020-Mar-14;2020-03-14
5056;1263490;0;False;;;;1.0;0.0;0.0;1.0;;;2020-Apr-27;2020-04-27
5057;1271530;0;False;;;;1.0;0.0;0.0;1.0;;32.0;2020-ay-4M;
5058;1328470;0;False;;;;1.0;1.0;0.0;2.0;;;2020-Jul-10;2020-07-10
