appid,new_date
1823370,2021-12-09
1064340,2021-02-22
1781350,2021-11-01
873270,2021-03-23
1481780,2021-12-15
1378360,2021-08-12
1496180,2021-01-13
1569090,2021-05-26
1212410,2021-10-22
1234940,2021-01-22
1506850,2021-04-20
973250,2021-03-12
925950,2021-08-03
1158220,2021-09-10
1406690,2021-01-07
1394930,2021-04-30
1424710,2021-02-24
1508920,2021-02-01
956140,2021-08-06
1229060,2021-01-14
1062140,2021-08-11
1306630,2021-05-13
1569620,2021-05-16
1783200,2021-11-04
1273080,2021-07-15
1667920,2021-07-06
1610870,2021-05-14
1640720,2021-06-14
1598160,2021-09-16
1257860,2021-03-25
1330470,2021-10-03
1378060,2021-01-28
1517340,2021-03-30
1206060,2021-10-28
1167170,2021-01-06
1113560,2021-04-24
1590600,2021-05-13
1005400,2021-08-27
1618290,2021-09-30
1745790,2021-11-13
1490890,2021-10-15
908100,2021-02-26
1163870,2021-08-30
1400870,2021-08-09
1492680,2021-11-16
1578390,2021-08-10
1484900,2021-08-24
658890,2021-10-04
1605010,2021-06-17
1134710,2021-01-26
1293160,2021-01-28
1677740,2021-10-07
1568590,2021-10-03
1335530,2021-10-22
1706090,2021-12-01
1547890,2021-11-05
1144910,2021-03-10
1563490,2021-08-02
1040420,2021-08-05
1604240,2021-05-03
1462570,2021-09-10
1524250,2021-03-01
1096530,2021-05-27
1040230,2021-01-28
1436990,2021-10-23
1606940,2021-06-18
1684720,2021-08-19
1611580,2021-08-25
1572040,2021-05-13
1591420,2021-06-25
1779200,2021-11-26
1297330,2021-01-28
1630290,2021-12-01
1786760,2021-11-19
1272070,2021-04-20
1581800,2021-10-07
1639930,2021-10-03
1418830,2021-05-20
1644280,2021-11-17
1569150,2021-08-09
1527510,2021-03-04
1463920,2021-01-15
1549750,2021-07-30
1424870,2021-08-21
1471960,2021-02-25
1528080,2021-04-28
1431610,2021-05-20
1564560,2021-04-30
1242980,2021-08-31
1464550,2021-01-22
1264920,2021-04-16
1054340,2021-10-22
1554550,2021-03-02
898750,2021-10-27
1571220,2021-09-21
1635980,2021-12-08
1647730,2021-08-18
1562920,2021-06-17
1778210,2021-10-18
1614340,2021-07-30
1330000,2021-10-14
1507190,2021-03-23
1181830,2021-02-27
1710920,2021-09-03
1515890,2021-03-04
1637140,2021-11-03
1577880,2021-09-28
1814170,2021-12-13
1375480,2021-03-15
1572270,2021-03-25
1659590,2021-08-25
1647160,2021-06-09
1055850,2021-03-23
1823350,2021-12-09
1260590,2021-02-25
1545250,2021-03-24
1235830,2021-03-18
1117390,2021-01-20
1338330,2021-02-18
1667400,2021-08-09
1752150,2021-12-17
1273540,2021-03-03
1434950,2021-07-27
1585910,2021-05-13
1594860,2021-05-04
1743260,2021-09-22
1568880,2021-07-16
1659050,2021-12-07
1522560,2021-01-27
1492160,2021-01-23
1522950,2021-02-22
1796180,2021-12-31
1807930,2021-11-18
1615100,2021-07-15
1365750,2021-05-21
1295270,2021-04-15
1532770,2021-06-03
1106830,2021-10-05
1691420,2021-08-18
1724440,2021-08-30
755410,2021-07-29
1527060,2021-03-02
1337530,2021-04-20
1643440,2021-10-04
1296360,2021-12-02
1334910,2021-04-08
1835810,2021-12-15
1812760,2021-12-23
1573750,2021-03-23
1273750,2021-08-10
1680000,2021-12-17
1173800,2021-09-08
1347600,2021-09-23
1432200,2021-05-20
1458390,2021-07-08
1495860,2021-04-08
1335790,2021-06-01
1428900,2021-03-12
1584830,2021-11-03
1546920,2021-06-02
1492720,2021-01-02
1602280,2021-04-26
1720050,2021-08-28
1543520,2021-10-28
1552680,2021-03-06
1663270,2021-12-11
1502970,2021-04-22
1569440,2021-08-25
1540150,2021-02-25
1830720,2021-12-24
1490980,2021-10-30
1574910,2021-05-03
1507780,2021-12-07
973810,2021-01-28
760640,2021-06-04
1552350,2021-10-14
1755280,2021-12-16
1794470,2021-11-04
1452540,2021-09-11
1594090,2021-10-14
1654890,2021-08-11
1281590,2021-10-21
848050,2021-12-18
1671350,2021-10-01
1591870,2021-04-16
1466860,2021-10-28
1642130,2021-07-05
1745170,2021-12-02
1355650,2021-09-14
1368410,2021-08-20
1319790,2021-05-03
1327440,2021-09-23
1586370,2021-07-30
724680,2021-08-18
1558970,2021-03-24
1410830,2021-01-06
880730,2021-02-19
1782380,2021-10-25
975270,2021-07-14
1256060,2021-03-25
1410840,2021-01-06
1477330,2021-01-06
1520060,2021-01-30
821880,2021-07-27
1684170,2021-10-25
1092400,2021-01-16
1149620,2021-09-15
1198210,2021-03-18
1535490,2021-03-30
1569550,2021-04-13
1269020,2021-12-01
1534270,2021-02-28
1513120,2021-01-21
1275790,2021-03-18
1558900,2021-04-27
1586700,2021-11-16
1625720,2021-05-26
1578950,2021-05-15
1520500,2021-05-13
1510630,2021-01-29
1661880,2021-07-16
1504220,2021-01-05
1525660,2021-06-03
1695620,2021-08-04
1407200,2021-04-29
1677360,2021-10-14
1580240,2021-12-07
1142080,2021-09-24
1721530,2021-12-03
1072750,2021-11-17
1285230,2021-10-12
1814710,2021-12-15
1587260,2021-05-30
1487590,2021-05-07
1522930,2021-12-09
1727220,2021-10-29
1331210,2021-12-07
1482770,2021-06-27
1584280,2021-04-07
1191120,2021-10-14
1460540,2021-05-18
