;24_Hour_Peak;All_time_peak;average_forever;average_2weeks;median_forever;median_2weeks;price;initialprice;num_lang;required_age;controller_support;dlc;metacritic_tf;platforms_num;achievements;days_after_release;months_after_release
360v Positive;;;;;;;;;;;;;;;;;
indie Positive;53.322960657923986;498.3135511595169;142.51344743276283;10.87537971401052;138.95636067274208;11.770689782914722;7.537085278209972;8.259611765577535;6.623694154256501;0.08690820182262725;0.27472771727050455;0.5175224123879381;0.05052974735126324;1.4163888271467733;29.014225383418538;998.152996962288;32.79447284581759
indie Negative;4.086285532456513;88.00296987696224;25.152312261349174;0.6170449724225711;24.420290623674163;0.7132477725922783;5.858853945693678;6.121953224437845;4.095831565549427;0.09546033092914723;0.1680101824352991;0.255674586338566;0.006470089096308867;1.2566822231650403;15.141228256257955;1015.222157403479;33.35755197284684
massivelymultiplayer Positive;1001.9449541284404;6442.17125382263;509.8103975535168;74.93272171253822;266.262996941896;90.61162079510703;6.668073394495413;7.208746177370031;8.180428134556575;0.25688073394495414;0.10703363914373089;0.6850152905198776;0.03363914373088685;1.2935779816513762;15.275229357798166;1023.217125382263;33.63608562691132
massivelymultiplayer Negative;301.98046875;3095.8736979166665;251.27994791666666;20.96875;154.52994791666666;25.53125;5.145494791666667;5.501315104166667;5.686197916666667;0.19921875;0.0546875;0.265625;0.01171875;1.1497395833333333;9.639322916666666;1101.8580729166667;36.235677083333336
modeling Positive;79.33333333333333;493.3333333333333;41.666666666666664;0.0;48.333333333333336;0.0;0.33;0.33;5.333333333333333;0.0;0.0;0.0;0.0;1.3333333333333333;0.0;1852.0;61.333333333333336
modeling Negative;0.0;0.0;0.0;0.0;0.0;0.0;3.66;3.66;14.0;0.0;0.0;0.0;0.0;1.0;0.0;962.6666666666666;31.666666666666668
movie Positive;;;;;;;;;;;;;;;;;
movie Negative;0.0;0.0;0.0;0.0;0.0;0.0;4.99;4.99;38.0;0.0;0.0;0.0;0.0;1.0;0.0;947.0;31.0
nudity Positive;0.0;60.0;96.0;0.0;96.0;0.0;2.6566666666666667;2.6566666666666667;1.3333333333333333;0.0;0.3333333333333333;0.0;0.0;2.0;3.3333333333333335;1775.3333333333333;58.666666666666664
nudity Negative;0.0;1.8888888888888888;1.0555555555555556;0.0;1.1111111111111112;0.0;5.101111111111111;5.101111111111111;3.2222222222222223;1.0;0.05555555555555555;0.16666666666666666;0.05555555555555555;1.0;5.277777777777778;1849.2777777777778;61.166666666666664
photoediting Positive;0.0;109.0;49.0;0.0;73.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1900.0;63.0
photoediting Negative;0.0;0.0;0.0;0.0;0.0;0.0;4.99;4.99;38.0;0.0;0.0;0.0;0.0;1.0;0.0;947.0;31.0
racing Positive;83.62444771723122;666.8276877761414;145.8100147275405;9.531664212076583;115.89543446244477;9.561119293078056;10.33681885125184;12.368541973490425;7.483063328424153;0.035346097201767304;0.37702503681885124;1.1737849779086893;0.053019145802650956;1.304860088365243;19.758468335787924;939.460972017673;30.811487481590575
racing Negative;8.988977955911823;61.377755511022045;20.70941883767535;0.6182364729458918;20.06513026052104;0.8416833667334669;7.081272545090181;7.668647294589178;5.326653306613227;0.03006012024048096;0.22845691382765532;0.21442885771543085;0.004008016032064128;1.2625250501002003;11.134268537074147;998.5741482965932;32.81062124248497
rpg Positive;165.00200057159188;2265.836524721349;418.2129179765647;27.008573878250928;408.0960274364104;31.6384681337525;10.900337239211202;11.609368390968848;6.078593883966848;0.21949128322377823;0.25578736781937694;0.8762503572449272;0.07459274078308088;1.3835381537582165;33.11917690768791;960.0125750214347;31.515004286939124
rpg Negative;29.659111111111113;623.9073333333333;89.20666666666666;3.5324444444444443;77.044;4.2811111111111115;7.889555555555556;8.22900888888889;4.0184444444444445;0.21266666666666667;0.1351111111111111;0.334;0.014444444444444444;1.2313333333333334;12.040222222222223;968.7602222222222;31.805777777777777
sexualcontent Positive;1.0;95.2;17.4;0.0;17.4;0.0;8.389999999999999;8.389999999999999;2.0;0.0;0.2;0.0;0.0;1.2;9.2;1778.0;58.8
sexualcontent Negative;0.0;0.4;0.0;0.0;0.0;0.0;7.456666666666664;7.456666666666664;3.3333333333333335;1.2;0.13333333333333333;0.2;0.06666666666666667;1.2;6.333333333333333;1803.2;59.733333333333334
short Positive;;;;;;;;;;;;;;;;;
