;appid;required_age;is_free;controller_support;dlc;metacritic;metacritic_tf;windows;mac;linux;platforms_num;recommendations;achievements;release_date;days_after_release
109;1109410;0.0;True;0;0.0;;0;1.0;0.0;0.0;1.0;0.0;0.0;;
110;1146950;0.0;False;0;0.0;;0;1.0;1.0;0.0;2.0;3166.0;100.0;;
111;1098340;0.0;False;0;0.0;;0;1.0;0.0;0.0;1.0;1419.0;770.0;;
112;666140;0.0;False;1;6.0;73.0;1;1.0;1.0;0.0;2.0;30988.0;91.0;;
113;1048540;0.0;False;0;0.0;;0;1.0;0.0;0.0;1.0;2269.0;9.0;;
114;948830;0.0;False;0;1.0;;0;1.0;1.0;0.0;2.0;1138.0;18.0;;
115;930910;0.0;False;0;0.0;;0;1.0;0.0;0.0;1.0;529.0;35.0;;
116;1040550;0.0;False;0;1.0;;0;1.0;1.0;1.0;3.0;638.0;12.0;;
117;361420;0.0;False;1;1.0;;0;1.0;0.0;0.0;1.0;91255.0;56.0;;
118;1092720;0.0;True;0;0.0;;0;1.0;0.0;0.0;1.0;0.0;0.0;;
119;939600;0.0;False;0;2.0;;0;1.0;0.0;0.0;1.0;2241.0;26.0;;
120;447150;0.0;False;1;0.0;83.0;1;1.0;1.0;0.0;2.0;2454.0;23.0;;
121;1046820;0.0;False;0;0.0;;0;1.0;1.0;1.0;3.0;1248.0;8.0;;
122;1070550;0.0;False;0;0.0;;0;1.0;0.0;0.0;1.0;253.0;13.0;;
123;741140;0.0;False;0;0.0;;0;1.0;0.0;0.0;1.0;1023.0;25.0;;
124;1044490;0.0;False;0;0.0;;0;1.0;1.0;1.0;3.0;549.0;0.0;;
125;604240;0.0;False;1;0.0;;0;1.0;1.0;1.0;3.0;8761.0;73.0;;
126;1047440;0.0;False;0;1.0;;0;1.0;0.0;0.0;1.0;2152.0;37.0;;
127;823500;0.0;False;0;1.0;72.0;1;1.0;0.0;0.0;1.0;31473.0;16.0;;
128;1080750;0.0;False;1;1.0;80.0;1;1.0;1.0;1.0;3.0;710.0;20.0;;
129;1026840;0.0;True;0;0.0;;0;1.0;0.0;0.0;1.0;0.0;0.0;;
130;1158470;0.0;False;1;0.0;;0;1.0;0.0;1.0;2.0;369.0;37.0;;
131;382560;0.0;False;1;0.0;;0;1.0;0.0;0.0;1.0;4251.0;41.0;;
132;677620;0.0;True;1;3.0;;0;1.0;0.0;1.0;2.0;161.0;30.0;;
133;433550;0.0;False;0;2.0;;0;1.0;0.0;0.0;1.0;3153.0;17.0;;
134;588030;0.0;False;0;1.0;;0;1.0;0.0;0.0;1.0;2991.0;0.0;;
135;1073390;0.0;True;1;0.0;;0;1.0;0.0;0.0;1.0;0.0;0.0;;
136;1037190;0.0;False;1;1.0;;0;1.0;1.0;1.0;3.0;522.0;13.0;;
137;710710;0.0;False;0;1.0;;0;1.0;1.0;1.0;3.0;256.0;21.0;;
138;1109130;0.0;False;0;6.0;;0;1.0;0.0;0.0;1.0;540.0;100.0;;
139;1043240;0.0;False;0;0.0;;0;1.0;0.0;0.0;1.0;275.0;0.0;;
140;844660;0.0;False;0;3.0;;0;1.0;1.0;1.0;3.0;659.0;12.0;;
141;1047220;0.0;False;1;1.0;81.0;1;1.0;1.0;0.0;2.0;782.0;6.0;;
142;1056490;0.0;False;0;0.0;;0;1.0;0.0;0.0;1.0;521.0;0.0;;
143;981020;0.0;False;1;1.0;;0;1.0;1.0;1.0;3.0;324.0;14.0;;
144;1146510;0.0;False;0;0.0;;0;1.0;0.0;0.0;1.0;285.0;11.0;;
145;594130;0.0;False;0;1.0;74.0;1;1.0;1.0;1.0;3.0;465.0;57.0;;
146;585420;0.0;False;1;7.0;;0;1.0;0.0;0.0;1.0;13497.0;22.0;;
147;805550;0.0;False;0;7.0;77.0;1;1.0;0.0;0.0;1.0;17318.0;0.0;;
148;954740;18.0;False;1;2.0;60.0;1;1.0;0.0;0.0;1.0;9995.0;36.0;;
149;959080;0.0;True;1;0.0;;0;1.0;1.0;1.0;3.0;0.0;11.0;;
150;952290;0.0;False;1;0.0;;0;1.0;0.0;0.0;1.0;933.0;34.0;;
151;622220;0.0;False;0;47.0;79.0;1;1.0;0.0;0.0;1.0;3396.0;44.0;;
152;679900;0.0;False;0;0.0;;0;1.0;1.0;0.0;2.0;3566.0;39.0;;
153;1069740;0.0;False;0;0.0;;0;1.0;0.0;0.0;1.0;8038.0;210.0;;
154;1058000;0.0;True;0;0.0;;0;1.0;0.0;0.0;1.0;0.0;0.0;;
155;1084570;0.0;True;0;1.0;;0;1.0;0.0;0.0;1.0;0.0;14.0;;
156;909190;0.0;True;0;0.0;;0;1.0;1.0;0.0;2.0;0.0;0.0;;
157;489520;0.0;True;1;18.0;;0;1.0;1.0;0.0;2.0;1407.0;38.0;;
158;1021950;0.0;True;0;0.0;;0;1.0;0.0;0.0;1.0;0.0;32.0;;
159;1121910;0.0;True;0;0.0;;0;1.0;1.0;0.0;2.0;0.0;0.0;;
160;1098490;0.0;False;0;0.0;;0;1.0;0.0;0.0;1.0;0.0;0.0;;
161;1079800;0.0;False;0;2.0;83.0;1;1.0;0.0;0.0;1.0;3117.0;25.0;;
162;1036950;0.0;True;0;117.0;;0;1.0;0.0;0.0;1.0;0.0;17.0;;
163;572220;0.0;False;1;0.0;;0;1.0;1.0;1.0;3.0;704.0;10.0;;
164;1017180;0.0;False;0;0.0;;0;1.0;0.0;0.0;1.0;19862.0;0.0;;
165;505230;0.0;False;1;3.0;;0;1.0;0.0;0.0;1.0;6484.0;50.0;;
166;1174180;0.0;False;0;0.0;93.0;1;1.0;0.0;0.0;1.0;368490.0;51.0;;
167;951830;0.0;True;0;1.0;;0;1.0;0.0;0.0;1.0;0.0;0.0;;
168;846030;0.0;False;1;5.0;;0;1.0;1.0;1.0;3.0;1198.0;83.0;;
169;976390;0.0;False;0;0.0;;0;1.0;0.0;0.0;1.0;1007.0;4.0;;
170;968350;0.0;False;0;1.0;;0;1.0;1.0;0.0;2.0;407.0;39.0;;
171;1100800;0.0;False;0;0.0;;0;1.0;0.0;0.0;1.0;205.0;0.0;;
172;910630;0.0;False;1;2.0;78.0;1;1.0;1.0;1.0;3.0;356.0;21.0;;
173;970570;0.0;False;0;1.0;;0;1.0;0.0;0.0;1.0;2087.0;34.0;;
174;702050;0.0;False;0;0.0;;0;1.0;0.0;0.0;1.0;3857.0;0.0;;
175;1073440;0.0;;0;0.0;;0;;;;;0.0;0.0;;
176;1094530;0.0;False;0;1.0;;0;1.0;0.0;0.0;1.0;403.0;34.0;;
177;951000;0.0;False;0;1.0;;0;1.0;0.0;0.0;1.0;1366.0;0.0;;
178;703080;0.0;False;0;15.0;81.0;1;1.0;0.0;0.0;1.0;57289.0;38.0;;
179;971210;0.0;True;0;0.0;;0;1.0;0.0;0.0;1.0;0.0;0.0;;
180;1101180;0.0;False;0;0.0;;0;1.0;0.0;0.0;1.0;386.0;32.0;;
181;1026820;0.0;True;0;5.0;;0;1.0;0.0;0.0;1.0;0.0;155.0;;
182;1005930;0.0;False;0;13.0;;0;1.0;1.0;1.0;3.0;1184.0;103.0;;
183;983150;0.0;False;0;0.0;;0;1.0;0.0;0.0;1.0;277.0;0.0;;
184;1182370;0.0;True;0;0.0;;0;1.0;0.0;0.0;1.0;0.0;12.0;;
185;761600;18.0;False;1;0.0;;0;1.0;0.0;0.0;1.0;1528.0;55.0;;
186;923910;0.0;False;0;0.0;;0;1.0;0.0;0.0;1.0;413.0;0.0;;
187;948740;0.0;False;0;0.0;;0;1.0;0.0;0.0;1.0;6121.0;45.0;;
188;1187510;0.0;False;0;1.0;;0;1.0;0.0;0.0;1.0;878.0;55.0;;
189;1172980;0.0;True;0;0.0;;0;1.0;0.0;0.0;1.0;0.0;0.0;;
