iter	Passed	Remaining
637	14442	8194
638	14463	8170
639	14482	8146
640	14501	8121
641	14525	8099
642	14545	8075
643	14565	8051
644	14586	8028
645	14607	8004
646	14628	7980
647	14647	7956
648	14667	7932
649	14688	7908
650	14708	7885
651	14741	7868
652	14763	7845
653	14797	7828
654	14817	7804
655	14841	7782
656	14862	7759
657	14883	7735
658	14904	7712
659	14927	7689
660	14960	7672
661	14982	7649
662	15015	7632
663	15037	7609
664	15060	7586
665	15082	7563
666	15103	7540
667	15125	7517
668	15151	7496
669	15173	7473
670	15195	7450
671	15220	7428
672	15241	7405
673	15262	7382
674	15286	7359
675	15306	7336
676	15334	7316
677	15356	7293
678	15379	7270
679	15400	7247
680	15420	7223
681	15440	7199
682	15460	7175
683	15484	7153
684	15504	7129
685	15523	7105
686	15544	7082
687	15565	7058
688	15586	7035
689	15606	7011
690	15627	6988
691	15648	6965
692	15670	6942
693	15692	6919
694	15713	6895
695	15737	6874
696	15758	6850
697	15781	6828
698	15804	6805
699	15830	6784
700	15853	6761
701	15890	6745
702	15913	6723
703	15938	6701
704	15962	6679
705	15985	6657
706	16007	6633
707	16028	6610
708	16048	6586
709	16068	6563
710	16089	6540
711	16110	6516
712	16135	6495
713	16155	6471
714	16175	6447
715	16195	6424
716	16215	6400
717	16234	6376
718	16254	6352
719	16276	6329
720	16309	6311
721	16329	6287
722	16349	6264
723	16370	6240
724	16392	6217
725	16412	6194
726	16432	6170
727	16452	6146
728	16471	6123
729	16493	6100
730	16513	6076
731	16535	6053
732	16556	6030
733	16575	6006
734	16596	5983
735	16616	5960
736	16637	5937
737	16658	5913
738	16680	5891
739	16702	5868
740	16723	5845
741	16742	5821
742	16763	5798
743	16782	5774
744	16803	5751
745	16825	5728
746	16845	5705
747	16865	5681
748	16884	5658
749	16906	5635
750	16927	5612
751	16953	5591
752	16976	5568
753	17000	5546
754	17022	5523
755	17042	5500
756	17062	5477
757	17083	5454
758	17105	5431
759	17125	5407
760	17144	5384
761	17164	5360
762	17185	5337
763	17204	5314
764	17223	5290
765	17242	5267
766	17261	5243
767	17280	5220
768	17299	5196
769	17320	5173
770	17343	5151
771	17364	5128
772	17383	5104
773	17402	5081
774	17423	5058
775	17451	5037
776	17473	5014
777	17493	4991
778	17517	4969
779	17539	4946
780	17557	4923
781	17577	4900
782	17596	4876
783	17616	4853
784	17635	4830
785	17668	4810
786	17688	4787
787	17707	4764
788	17731	4741
789	17749	4718
790	17769	4694
791	17787	4671
792	17806	4648
793	17826	4625
794	17846	4601
795	17866	4578
796	17886	4555
797	17905	4532
798	17927	4509
799	17945	4486
800	17966	4463
801	17987	4440
802	18021	4421
803	18044	4398
804	18064	4375
805	18084	4352
806	18104	4329
807	18125	4307
808	18148	4284
809	18168	4261
810	18187	4238
811	18207	4215
812	18225	4192
813	18244	4168
814	18263	4145
815	18282	4122
816	18302	4099
817	18322	4076
818	18342	4053
819	18360	4030
820	18378	4007
821	18397	3983
822	18416	3960
823	18436	3937
824	18456	3914
825	18476	3892
826	18495	3869
827	18515	3846
828	18538	3823
829	18558	3801
830	18577	3778
831	18597	3755
832	18617	3732
833	18638	3709
834	18658	3686
835	18678	3664
836	18700	3641
837	18719	3618
838	18739	3596
839	18760	3573
840	18779	3550
841	18799	3527
842	18819	3504
843	18838	3481
844	18858	3459
845	18877	3436
846	18896	3413
847	18915	3390
848	18939	3368
849	18960	3345
850	18979	3323
851	18999	3300
852	19032	3279
853	19067	3259
854	19089	3237
855	19110	3214
856	19131	3192
857	19151	3169
858	19173	3147
859	19195	3124
860	19215	3102
861	19235	3079
862	19254	3056
863	19274	3033
864	19295	3011
865	19314	2988
866	19336	2966
867	19357	2943
868	19376	2920
869	19395	2898
870	19414	2875
871	19433	2852
872	19452	2829
873	19471	2807
874	19492	2784
875	19510	2761
876	19530	2739
877	19548	2716
878	19568	2693
879	19589	2671
880	19609	2648
881	19629	2626
882	19650	2603
883	19669	2581
884	19689	2558
885	19709	2535
886	19727	2513
887	19749	2490
888	19768	2468
889	19790	2446
890	19809	2423
891	19828	2400
892	19847	2378
893	19865	2355
894	19884	2332
895	19903	2310
896	19922	2287
897	19942	2265
898	19960	2242
899	19979	2219
900	19997	2197
901	20017	2174
902	20037	2152
903	20056	2129
904	20074	2107
905	20093	2084
906	20112	2062
907	20132	2039
908	20155	2017
909	20191	1997
910	20235	1976
911	20270	1955
912	20292	1933
913	20314	1911
914	20337	1889
915	20358	1866
916	20393	1845
917	20415	1823
918	20439	1801
919	20474	1780
920	20496	1758
921	20532	1737
922	20560	1715
923	20583	1693
924	20606	1670
925	20644	1649
926	20666	1627
927	20688	1605
928	20709	1582
929	20731	1560
930	20752	1538
931	20774	1515
932	20794	1493
933	20816	1470
934	20838	1448
935	20860	1426
936	20880	1403
937	20902	1381
938	20922	1359
939	20946	1337
940	20968	1314
941	20988	1292
942	21008	1269
943	21029	1247
944	21049	1225
945	21071	1202
946	21091	1180
947	21114	1158
948	21134	1135
949	21154	1113
950	21174	1091
951	21194	1068
952	21213	1046
953	21234	1023
954	21256	1001
955	21277	979
956	21296	956
957	21317	934
958	21337	912
959	21362	890
960	21382	867
961	21402	845
962	21422	823
963	21453	801
964	21475	778
965	21495	756
966	21515	734
967	21535	711
