;appid;required_age;is_free;controller_support;dlc;metacritic;metacritic_tf;windows;mac;linux;platforms_num;recommendations;achievements;release_date;days_after_release
1710;1237570;0.0;False;0;1.0;;0;1.0;0.0;1.0;2.0;0.0;7.0;2020-03-20;1155.0
1711;1390490;0.0;False;1;0.0;;0;1.0;0.0;0.0;1.0;0.0;26.0;2020-10-15;946.0
1712;1493840;0.0;False;0;0.0;;0;1.0;1.0;0.0;2.0;0.0;20.0;2020-12-22;878.0
1713;1397110;0.0;False;0;0.0;;0;1.0;0.0;0.0;1.0;135.0;10.0;2020-10-27;934.0
1714;1040390;0.0;False;0;0.0;;0;1.0;1.0;0.0;2.0;0.0;0.0;2020-04-16;1128.0
1715;1249080;0.0;False;0;3.0;;0;1.0;1.0;0.0;2.0;0.0;24.0;2020-11-19;911.0
1716;1457980;0.0;False;1;0.0;;0;1.0;0.0;0.0;1.0;0.0;0.0;2020-12-02;898.0
1717;1153980;0.0;False;1;1.0;;0;1.0;1.0;0.0;2.0;0.0;56.0;2020-01-29;1206.0
1718;1311540;0.0;False;0;1.0;;0;1.0;1.0;0.0;2.0;158.0;11.0;2020-07-10;1043.0
1719;1304450;0.0;False;1;0.0;;0;1.0;0.0;0.0;1.0;0.0;17.0;2020-09-17;974.0
1720;672150;0.0;False;0;0.0;;0;1.0;0.0;0.0;1.0;111.0;2600.0;2020-07-23;1030.0
1721;1202870;0.0;False;0;1.0;;0;1.0;0.0;1.0;2.0;102.0;17.0;2020-08-14;1008.0
1722;447980;0.0;False;1;0.0;;0;1.0;1.0;0.0;2.0;0.0;38.0;2020-12-04;896.0
1723;1220200;0.0;False;1;0.0;;0;1.0;0.0;0.0;1.0;0.0;0.0;2020-04-29;1115.0
1724;1314840;0.0;True;0;0.0;;0;1.0;0.0;0.0;1.0;0.0;20.0;2020-06-01;1082.0
1725;1359650;0.0;False;0;1.0;;0;1.0;0.0;0.0;1.0;1075.0;15.0;2020-09-25;966.0
1726;655740;15.0;False;1;0.0;;0;1.0;1.0;1.0;3.0;271.0;89.0;2020-12-04;896.0
1727;1427210;0.0;True;1;0.0;;0;1.0;0.0;0.0;1.0;0.0;0.0;2020-11-27;903.0
1728;1299990;0.0;True;0;0.0;;0;1.0;1.0;1.0;3.0;0.0;6.0;2020-06-10;1073.0
1729;1446850;0.0;False;0;2.0;;0;1.0;0.0;0.0;1.0;263.0;40.0;2020-11-15;915.0
1730;1294230;0.0;False;0;0.0;;0;1.0;0.0;0.0;1.0;0.0;18.0;2020-06-19;1064.0
1731;1047870;0.0;False;1;0.0;;0;1.0;1.0;1.0;3.0;0.0;29.0;2020-06-18;1065.0
1732;1220370;0.0;False;1;1.0;65.0;1;1.0;0.0;0.0;1.0;119.0;21.0;2020-08-13;1009.0
1733;1180030;0.0;False;0;0.0;;0;1.0;1.0;0.0;2.0;0.0;0.0;2020-01-14;1221.0
1734;1350340;0.0;False;0;2.0;;0;1.0;0.0;0.0;1.0;140.0;4.0;2020-07-31;1022.0
1735;281080;0.0;False;0;1.0;;0;1.0;0.0;0.0;1.0;0.0;36.0;2020-02-28;1176.0
1736;1260830;0.0;True;0;0.0;;0;1.0;0.0;0.0;1.0;0.0;0.0;2020-03-20;1155.0
1737;771420;0.0;False;1;0.0;;0;1.0;1.0;1.0;3.0;262.0;17.0;2020-07-09;1044.0
1738;897930;0.0;False;0;1.0;;0;1.0;1.0;1.0;3.0;216.0;27.0;2020-01-29;1206.0
1739;1268370;0.0;False;1;1.0;;0;1.0;0.0;0.0;1.0;0.0;5.0;2020-04-09;1135.0
1740;1131140;0.0;False;1;0.0;;0;1.0;0.0;0.0;1.0;0.0;0.0;2020-12-04;896.0
1741;1341220;0.0;False;0;1.0;;0;1.0;1.0;0.0;2.0;0.0;5.0;2020-08-20;1002.0
1742;1313310;0.0;False;1;0.0;;0;1.0;1.0;0.0;2.0;0.0;27.0;2020-07-02;1051.0
1743;1364010;0.0;False;0;0.0;;0;1.0;1.0;0.0;2.0;0.0;0.0;2020-08-13;1009.0
1744;1205630;0.0;False;0;0.0;;0;1.0;0.0;0.0;1.0;0.0;0.0;2020-08-14;1008.0
1745;369530;0.0;False;0;3.0;;0;1.0;0.0;0.0;1.0;559.0;48.0;2020-02-06;1198.0
1746;1120400;0.0;False;0;0.0;;0;1.0;0.0;0.0;1.0;0.0;0.0;2020-12-17;883.0
1747;979640;0.0;False;0;2.0;;0;1.0;0.0;0.0;1.0;1553.0;5.0;2020-05-15;1099.0
1748;1133580;0.0;False;0;0.0;;0;1.0;0.0;0.0;1.0;0.0;11.0;2020-09-01;990.0
1749;1349920;0.0;True;0;0.0;;0;1.0;0.0;0.0;1.0;0.0;16.0;2020-07-17;1036.0
1750;1297230;0.0;False;0;1.0;;0;1.0;1.0;1.0;3.0;0.0;32.0;2020-05-22;1092.0
1751;1066400;0.0;True;0;0.0;;0;1.0;0.0;0.0;1.0;0.0;0.0;2020-01-20;1215.0
1752;745430;0.0;False;1;0.0;;0;1.0;1.0;1.0;3.0;0.0;16.0;2020-01-01;1234.0
1753;802260;0.0;False;0;0.0;;0;1.0;0.0;0.0;1.0;0.0;0.0;2020-07-03;1050.0
1754;1043870;0.0;False;1;0.0;;0;1.0;1.0;1.0;3.0;0.0;13.0;2020-06-12;1071.0
1755;1233790;0.0;False;1;0.0;;0;1.0;0.0;0.0;1.0;0.0;18.0;2020-10-15;946.0
1756;1236810;0.0;False;0;0.0;;0;1.0;0.0;0.0;1.0;0.0;23.0;2020-08-07;1015.0
1757;1257670;0.0;False;0;2.0;;0;1.0;0.0;0.0;1.0;0.0;3.0;2020-03-12;1163.0
1758;1276600;0.0;False;0;0.0;;0;1.0;0.0;0.0;1.0;0.0;0.0;2020-04-12;1132.0
1759;1282510;0.0;False;0;1.0;;0;1.0;0.0;0.0;1.0;0.0;84.0;2020-05-26;1088.0
1760;1389750;0.0;False;1;1.0;;0;1.0;0.0;0.0;1.0;0.0;15.0;2020-09-25;966.0
1761;1433430;0.0;False;0;0.0;;0;1.0;1.0;0.0;2.0;0.0;0.0;2020-10-21;940.0
